TrackName,TrackType,SessionFlag,CarName,RacePosition,Lap Nbr,PaceMode,OnPitRoad,LapDistPrct %,SessionTime,IsOnTrack,PreviousLap,LapBestLap,LapCompleted,CurrentLapTime,LapBestLapTime,LapDeltaToBestLap,LapDeltaToBestLap_DD,Throttle %,Brake %,Clutch %,Speed (MPH),currentGear,RPM,SteeringWheelAngle (deg),FuelLevelPct,LFtempCL (F),LFtempCR (F),LFtempCM (F),LRtempCL (F),LRtempCR (F),LRtempCM (F),RFtempCL (F),RFtempCR (F),RFtempCM (F),RRtempCL (F),RRtempCR (F),RRtempCM (F),LFwearL %,LFwearM %,LFwearR %,LRwearL %,LRwearM %,LRwearR %,RFwearL %,RFwearM %,RFwearR %,RRwearL %,RRwearM %,RRwearR %,TrackTemp (F),OilTemp (F),WaterTemp (F),AirDensity (lbs/ft^3),AirPressure (bar),AirTemp (F),WindDir (deg),WindVel (MPH),LatAccel (m/s),LongAccel (m/s),VertAccel (m/s),Roll (deg),RollRate (deg/s),Yaw (deg),YawRate (deg/s),Pitch (deg),PitchRate (deg/s),gForces
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:22.000666,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0.0,1,2075,-3,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.0258503946932327,0.00279683707078784,1.0005570819010914,1,0,-1,0,0,-1,0.10213212951810204
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:22.000816,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,38,100,100,0.0,1,3029,-3,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.02496367231178478,0.0021582687697036308,1.0054823576978709,1,0,-1,-1,0,-1,0.10263209378822227
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:22.000950,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0.0,1,3352,-3,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.02602392258872558,0.004940945560171456,1.0012404998872622,1,-1,-1,-1,0,0,0.10220314619162336
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:23.000083,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0.0,1,3005,-3,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.024955222244534895,0.0020425903414367534,0.9954559450606444,1,-1,-1,0,0,-1,0.10160926467675244
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:23.000216,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,1,100,100,0.0,1,2726,-2,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.025672862775221267,0.001236900998607931,0.999428713115105,1,-1,-1,0,0,0,0.10201624083685008
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:23.000350,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,34,100,100,0.0,1,3225,-1,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.02367443478192515,0.005928493815946044,1.0048385060161624,1,0,-1,-1,0,0,0.10256477971833701
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:23.000483,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0.0,1,3550,0,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.02499477943513736,0.0029121984126735533,0.989265519666137,1,-1,-1,0,0,0,0.10097811361058352
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:23.000633,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,11,100,100,0.0,1,3274,0,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.02581281521026269,0.0025316518441860342,0.9982555284412629,1,0,-1,-1,0,-1,0.10189718517639736
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:23.000766,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,19,100,100,0.0,1,3976,0,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.023471494941050365,0.002023625158145644,0.998970443927792,1,-1,-1,0,0,0,0.10196410146750766
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:23.000900,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,24,100,100,0.0,1,4491,0,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.027041791897422795,0.0031832408133389144,1.0011791575331692,1,0,-1,-1,0,-1,0.10219891308825915
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:24.000050,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,29,0,82,0.01,1,5230,0,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,172,0.07,1.01,78,0,0.0,-0.033129713707864585,0.0658745491055052,0.9964455887447439,1,0,-1,1,0,-1,0.10195613044434389
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:24.000183,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,33,0,68,0.36,1,5819,0,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,177,173,0.07,1.01,78,0,0.0,-0.037374263145143465,0.160016537198719,0.9905036436308414,1,0,-1,-1,0,-1,0.10245322760161323
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:24.000316,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,37,0,60,0.96,1,6129,0,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,178,173,0.07,1.01,78,0,0.0,-0.012777583193220008,0.262910631940027,0.9978220489533061,1,0,-1,0,0,-1,0.10530167825996033
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:24.000450,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,40,0,49,1.92,1,6141,1,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,178,173,0.07,1.01,78,0,0.0,-0.03580467720401153,0.423554615872351,0.9900435273678903,1,0,-1,0,0,-1,0.10994237035012482
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,9,07:24.000583,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,42,0,43,3.31,1,5759,1,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,178,173,0.07,1.01,78,0,0.0,-0.02847731295711039,0.5122729154658731,0.9906237035473309,1,0,-1,-1,0,-1,0.11383703010069679
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,0,0,Not Pacing,True,10,07:24.000716,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,42,0,43,4.77,1,5340,1,99,102,102,102,102,102,102,102,102,102,102,102,102,100,100,100,100,100,100,100,100,100,100,100,100,124,178,173,0.07,1.01,78,0,0.0,-0.029032182985124964,0.5085356009480421,0.9869054430729266,1,-1,-1,0,0,-1,0.11332659119023201
