TrackName,TrackType,SessionFlag,CarName,RacePosition,Lap Nbr,PaceMode,OnPitRoad,LpDistance,LapDistPrct %,SessionTime,IsOnTrack,PreviousLap,LapBestLap,LapCompleted,CurrentLapTime,LapBestLapTime,LapDeltaToBestLap,LapDeltaToBestLap_DD,Throttle %,Brake %,Clutch %,Speed (MPH),currentGear,GearDisplay,RPM,SteeringWheelAngle (deg),FuelLevelPct,LFtempCL (F),LFtempCR (F),LFtempCM (F),LRtempCL (F),LRtempCR (F),LRtempCM (F),RFtempCL (F),RFtempCR (F),RFtempCM (F),RRtempCL (F),RRtempCR (F),RRtempCM (F),LFwearL %,LFwearM %,LFwearR %,LRwearL %,LRwearM %,LRwearR %,RFwearL %,RFwearM %,RFwearR %,RRwearL %,RRwearM %,RRwearR %,TrackTemp (F),OilTemp (F),WaterTemp (F),AirDensity (lbs/ft^3),AirPressure (bar),AirTemp (F),WindDir (deg),WindVel (MPH),LatAccel (m/s),LongAccel (m/s),VertAccel (m/s),Roll (deg),RollRate (deg/s),Yaw (deg),YawRate (deg/s),Pitch (deg),PitchRate (deg/s),gForces
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1637.4421330786133,63.5,13:54.000233,True,20.02,12,13,00:12.000257,19.871,00:00.000072,0.004547476768493652,0,30.37,0,88.38,3,3,7510,-23.435,91.04,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,200,0.07,0.99,78,-0.0,0.0,1.0920280588754698,-0.6186787141572444,1.0445396470002806,4.446,-9,165.529,16,-0.4,-3,0.16662211455727688
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1650.5069209533692,64.01,13:54.000333,True,20.02,12,13,00:12.000357,19.871,00:00.000072,0.004148125648498535,0,30.37,0,87.09,3,3,7417,-25.526,91.04,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,200,0.07,0.99,78,-0.0,0.0,0.9953671882154987,-0.5395198087079809,1.0441998822973408,4.553,0,163.898,15,-0.483,1,0.15716243111440845
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1663.3875820959472,64.51,13:54.000433,True,20.02,12,13,00:12.000457,19.871,00:00.000072,-0.0002034902572631836,0,32.63,0,85.97,3,3,7291,-27.609,91.04,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,200,0.07,0.99,78,-0.0,0.0,0.9076799942934306,-0.5958282011850651,0.9113395372054385,5.041,-10,162.506,14,-0.817,1,0.14464745410546923
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1673.9766213537598,64.92,13:54.000516,True,20.02,12,13,00:12.000541,19.871,00:00.000073,0.001240372657775879,0,34.47,0,84.83,3,3,7207,-29.83,91.04,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,200,0.07,0.99,78,-0.0,0.0,1.2720877971124211,-0.6157208169515223,1.2538654237955231,5.323,1,161.048,20,-0.884,-4,0.19278688896889748
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1688.5817059375,65.48,13:54.000633,True,20.02,12,13,00:12.000657,19.871,00:00.000073,0.003742992877960205,0,34.47,0,83.52,3,3,7116,-29.384,91.04,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,200,0.07,0.99,78,-0.0,0.0,1.259601954655545,-0.5897744593877918,1.1467083999991539,5.402,-6,158.946,17,-0.677,-2,0.1839388998132337
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1700.9060820751954,65.96,13:54.000733,True,20.02,12,13,00:12.000757,19.871,00:00.000074,0.007865965366363525,0,32.06,0,81.98,3,3,6992,-35.062,91.03,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,200,0.07,0.99,78,-0.0,0.0,1.2272204827824864,-0.5715572870470332,1.1911047100413221,6.101,-5,156.952,18,-0.666,-4,0.18399852970604552
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1717.0811999853515,66.59,13:54.000866,True,20.02,12,13,00:12.000891,19.871,00:00.000075,0.012964189052581787,0,26.46,0,80.4,3,3,6876,-36.931,91.03,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,199,0.07,0.99,78,-0.0,0.0,1.3459282426902155,-0.5015653693833968,1.332055732501513,6.593,-3,154.125,21,-0.294,-7,0.19989228484008145
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1731.0223670263672,67.13,13:54.000983,True,20.02,12,13,00:13.000007,19.871,00:00.000076,0.01611506938934326,0,24.52,0,79.15,3,3,6772,-45.437,91.03,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,199,0.07,0.99,78,-0.0,0.0,1.3478694219715612,-0.4588473705948918,1.306557047743802,6.951,-5,151.604,21,-0.006,-6,0.19718933535431374
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1744.7416608544922,67.66,13:55.000100,True,20.02,12,13,00:13.000124,19.871,00:00.000078,0.012192487716674805,0,21.37,0,77.99,3,3,6676,-51.968,91.03,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,199,0.07,0.99,78,-0.0,0.0,1.4414055267240657,-0.42714226865622607,1.243502843392126,7.179,0,148.674,26,0.3,-5,0.1990815994850277
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,14,Not Pacing,False,1754.3591036962891,68.03,13:55.000183,True,20.02,12,13,00:13.000207,19.871,00:00.000079,0.008892655372619629,0,21.88,0,77.2,3,3,6601,-58.735,91.03,102,102,102,102,102,102,102,102,102,102,102,102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112,219,199,0.07,0.99,78,-0.0,0.0,1.4569746244938,-0.42256633319135345,1.1987358544337032,7.32,-4,146.447,26,0.329,-4,0.19729282469011342
