TrackName,TrackType,SessionFlag,CarName,RacePosition,Lap Nbr,PaceMode,OnPitRoad,LpDistance,LapDistPrct %,SessionTime,IsOnTrack,PreviousLap,LapBestLap,LapCompleted,CurrentLapTime,LapBestLapTime,LapDeltaToBestLap,LapDeltaToBestLap_DD,Throttle %,Brake %,Clutch %,Speed (MPH),currentGear,GearDisplay,RPM,SteeringWheelAngle (deg),FuelLevelPct,LFtempCL (F),LFtempCR (F),LFtempCM (F),LRtempCL (F),LRtempCR (F),LRtempCM (F),RFtempCL (F),RFtempCR (F),RFtempCM (F),RRtempCL (F),RRtempCR (F),RRtempCM (F),LFwearL %,LFwearM %,LFwearR %,LRwearL %,LRwearM %,LRwearR %,RFwearL %,RFwearM %,RFwearR %,RRwearL %,RRwearM %,RRwearR %,TrackTemp (F),OilTemp (F),WaterTemp (F),AirDensity (lbs/ft^3),AirPressure (bar),AirTemp (F),WindDir (deg),WindVel (MPH),LatAccel (m/s),LongAccel (m/s),VertAccel (m/s),Roll (deg),RollRate (deg/s),Yaw (deg),YawRate (deg/s),Pitch (deg),PitchRate (deg/s),gForces
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:19.000616,True,32.983,12,35,14:53.000890,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,4124,0.301,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.037455449410534775,0.007505706538969345,0.9986443864703786,2.126,-1,-133.805,0,0.419,0,0.10197701357097785
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:19.000700,True,32.983,12,35,14:53.000974,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,3922,0.34,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.03671660396544819,0.007567153702453006,0.9976991698161055,2.129,0,-133.805,0,0.418,0,0.10187788033625447
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:19.000766,True,32.983,12,35,14:54.000040,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,3669,0.268,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.03759233958859691,0.007060669157483161,0.9999527965238456,2.127,0,-133.804,-1,0.418,-1,0.1021106206302108
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:19.000850,True,32.983,12,35,14:54.000124,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,3418,0.787,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.03703326199518917,0.006915622074669654,0.9988391071284582,2.129,-1,-133.805,0,0.419,0,0.10199482893584777
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:19.000916,True,32.983,12,35,14:54.000190,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,3219,0.787,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.03724414760305733,0.007558939836076275,0.99895372303254,2.129,0,-133.805,-1,0.419,0,0.10200779082211278
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:20.000000,True,32.983,12,35,14:54.000274,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,2973,0.837,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.037023212445499214,0.007299946717895134,0.9987795146354962,2.128,-1,-133.805,0,0.419,-1,0.10198899328621021
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:20.000066,True,32.983,12,35,14:54.000340,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,2782,0.803,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.036975066960769326,0.007351275977738406,0.9985711839463975,2.129,0,-133.805,-1,0.419,-1,0.10196760670932477
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:20.000150,True,32.983,12,35,14:54.000424,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,2621,0.82,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.03741775448533737,0.007282791395313756,0.999446892227966,2.127,0,-133.805,0,0.419,0,0.10205852998217121
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:20.000216,True,32.983,12,35,14:54.000490,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,2456,0.787,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.036918220777637976,0.007392286829020026,0.9986299987233013,2.127,-1,-133.805,-1,0.419,0,0.10197342035946881
Martinsville Speedway,,"('Practice',)",NASCAR Chevrolet Camaro ZL1,1,36,Not Pacing,True,760.6870539227294,29.5,37:20.000300,True,32.983,12,35,14:54.000574,19.871,00:00.000000,0.0,0,100.0,100,0.0,0,N,2332,0.893,99.91,140,126,138,138,138,139,187,177,180,177,174,176,99.63,99.63,99.82,99.68,99.66,99.66,99.55,99.54,99.58,99.61,99.61,99.67,112,178,173,0.07,0.99,78,-0.0,0.0,-0.0373272477790607,0.007157973284385984,0.9989909561888279,2.125,0,-133.805,0,0.419,0,0.10201160247908865
