TrackName,TrackType,SessionFlag,CarName,RacePosition,Lap Nbr,PaceMode,OnPitRoad,LapDistPrct %,SessionTime,IsOnTrack,PreviousLap,LapBestLap,LapCompleted,CurrentLapTime,LapBestLapTime,LapDeltaToBestLap,LapDeltaToBestLap_DD,Throttle %,Brake %,Clutch %,Speed (MPH),currentGear,RPM,SteeringWheelAngle (deg),FuelLevelPct,LFtempCL (F),LFtempCR (F),LFtempCM (F),LRtempCL (F),LRtempCR (F),LRtempCM (F),RFtempCL (F),RFtempCR (F),RFtempCM (F),RRtempCL (F),RRtempCR (F),RRtempCM (F),LFwearL %,LFwearM %,LFwearR %,LRwearL %,LRwearM %,LRwearR %,RFwearL %,RFwearM %,RFwearR %,RRwearL %,RRwearM %,RRwearR %,TrackTemp (F),OilTemp (F),WaterTemp (F),AirDensity (lbs/ft^3),AirPressure (bar),AirTemp (F),WindDir (deg),WindVel (MPH),LatAccel (m/s),LongAccel (m/s),VertAccel (m/s),Roll (deg),RollRate (deg/s),Yaw (deg),YawRate (deg/s),Pitch (deg),PitchRate (deg/s),gForces
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:35.916,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,0,100,0,0,N,2000,1,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,171,170,0.07,0.95,65,0,0,0.01,0.01,1.0,0,0,11,0,-1,-1,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:36.183,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,0,100,0,0,N,2000,1,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,171,170,0.07,0.95,65,0,0,0.01,0.01,1.0,0,0,11,0,-1,-1,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:36.433,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,50,100,0,0,N,3330,1,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,171,170,0.07,0.95,65,0,0,0.01,0.01,1.01,0,0,11,0,-1,0,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:36.699,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,0,100,0,0,N,4738,2,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,171,171,0.07,0.95,65,0,0,0.01,0.01,1.0,0,-1,11,-1,-1,-1,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:36.966,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,0,100,0,0,N,3927,2,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,172,171,0.07,0.95,65,0,0,0.01,0.01,1.0,0,0,11,-1,-1,0,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:37.216,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,0,100,0,0,N,3165,2,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,172,171,0.07,0.95,65,0,0,0.01,0.01,1.0,0,0,11,-1,-1,0,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:37.483,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,0,100,0,0,N,2480,2,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,172,171,0.07,0.95,65,0,0,0.01,0.01,1.0,0,-1,11,-1,-1,-1,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:37.733,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,11,100,0,0,1,2457,2,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,172,171,0.07,0.95,65,0,0,0.01,0.01,1.0,0,0,11,0,-1,0,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:37.999,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,9,100,0,0,1,4103,2,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,172,171,0.07,0.95,65,0,0,0.01,0.01,1.0,0,-1,11,0,-1,-1,0.1
Las Vegas Motor Speedway,Oval,"('Practice',)",NASCAR Chevrolet Camaro ZL1,0,0,Not Pacing,True,9,11:38.249,True,0.0,0,0,00:00.000,0.0,00:00.000,0.0,24,100,0,0,1,6064,2,99,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,65,172,171,0.07,0.95,65,0,0,0.01,0.01,1.0,0,-1,11,0,-1,0,0.1
