TrackName,TrackType,SessionFlag,CarName,RacePosition,Lap Nbr,PaceMode,OnPitRoad,LapDistPrct %,SessionTime,IsOnTrack,PreviousLap,LapBestLap,LapCompleted,CurrentLapTime,LapBestLapTime,LapDeltaToBestLap,LapDeltaToBestLap_DD,Throttle %,Brake %,Clutch %,Speed (MPH),currentGear,RPM,SteeringWheelAngle (deg),FuelLevelPct,LFtempCL (F),LFtempCR (F),LFtempCM (F),LRtempCL (F),LRtempCR (F),LRtempCM (F),RFtempCL (F),RFtempCR (F),RFtempCM (F),RRtempCL (F),RRtempCR (F),RRtempCM (F),LFwearL %,LFwearM %,LFwearR %,LRwearL %,LRwearM %,LRwearR %,RFwearL %,RFwearM %,RFwearR %,RRwearL %,RRwearM %,RRwearR %,TrackTemp (F),OilTemp (F),WaterTemp (F),AirDensity (lbs/ft^3),AirPressure (bar),AirTemp (F),WindDir (deg),WindVel (MPH),LatAccel (m/s),LongAccel (m/s),VertAccel (m/s),Roll (deg),RollRate (deg/s),Yaw (deg),YawRate (deg/s),Pitch (deg),PitchRate (deg/s),gForces
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:58.000883,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,170,0.07,1.01,78,0,0,0.011802421432751762,-3.601223131628454e-05,1.0007563716410133,-1,0,0,0,0,0,0.10212509855148635
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000016,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,170,0.07,1.01,78,0,0,0.0114719156521419,0.0001210947905521874,0.9988896586722432,-1,-1,0,0,0,0,0.10193423871515825
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000149,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,170,0.07,1.01,78,0,0,0.011594342893781282,0.00013462028102560023,0.9983522568760054,-1,-1,0,0,0,-1,0.10187954989899363
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000283,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,170,0.07,1.01,78,0,0,0.011855816500874711,0.0004776180071507511,1.0003686801859848,-1,0,0,0,0,0,0.10208561694079107
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000416,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,170,0.07,1.01,78,0,0,0.01169772596534239,0.0004933209981575654,1.0002454121907551,-1,-1,0,-1,0,0,0.1020728503169911
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000549,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,169,0.07,1.01,78,0,0,0.011497322056028577,0.0005505908333775222,0.9986977572348746,-1,-1,0,0,0,0,0.10191470277501188
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000683,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,169,0.07,1.01,78,0,0,0.01152108492715157,0.0017304467103775366,0.9991411526025739,-1,0,0,-1,0,-1,0.10196010954607494
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000816,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,N,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,169,0.07,1.01,78,0,0,0.01196971241001203,-0.000564564516906466,1.000997852477094,-1,-1,0,0,0,-1,0.10214995660316141
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,03:59.000949,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,1,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,169,0.07,1.01,78,0,0,0.011401043238382213,-0.00015978419452632238,1.0014405673432423,-1,0,0,0,0,-1,0.10219443636630138
Daytona International Speedway,Road Course,"('Practice',)",Cadillac V-Series.R,0,0,Not Pacing,True,4,04:00.000083,True,0.0,0,0,00:00.000000,0.0,00:00.000000,0.0,0,100,100,0,1,1550,-1,99,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,78,170,169,0.07,1.01,78,0,0,0.01167400638505467,0.0004974336275084668,0.9983822961587545,-1,0,0,0,0,-1,0.10188272136342305
